[7l----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total- --io/total- ------sockets------ ----tcp-sockets----
usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send| read  writ|tot tcp udp raw frg|lis act syn tim clo
 10   2  88   0   0   0|   0   108k|5176M  389M 57.0G  541M|1007k 3717k|   0  2.00 |389 184  20   0   0| 20 152   3   1 276
 12   3  85   0   0   1|   0     0 |5177M  389M 57.0G  541M|1308k 5616k|   0     0 |394 191  20   0   0| 20 153   6   2 280
 27   4  67   0   0   2|   0   120k|5177M  389M 57.0G  540M|1796k   10M|   0  9.00 |450 244  20   0   0| 20 209   7   1 256
 22   3  73   0   0   2|   0     0 |5177M  389M 57.0G  540M|2062k   14M|   0     0 |456 252  20   0   0| 20 215   4   1 260
  9   2  88   0   0   1|   0    60k|5177M  389M 57.0G  540M|1431k 8960k|   0  4.00 |456 251  20   0   0| 20 212   3   1 263
 14   2  84   0   0   0|   0     0 |5176M  389M 57.0G  542M|1309k 5578k|   0     0 |456 251  20   0   0| 20 213   3   1 263
  8   1  91   0   0   0|   0     0 |5176M  389M 57.0G  542M|1182k 5422k|   0     0 |455 251  20   0   0| 20 213   3   1 263
 10   2  87   0   0   1|   0   116k|5176M  389M 57.0G  542M|1260k 6087k|   0  3.00 |449 244  20   0   0| 20 210   3   1 268
 10   2  88   0   0   0|   0     0 |5175M  389M 57.0G  542M|1506k 7318k|   0     0 |447 243  20   0   0| 20 197   3   1 279
 14   2  83   0   0   1|   0   192k|5174M  389M 57.0G  543M|1426k 5992k|   0  38.0 |443 239  20   0   0| 20 195   5   1 274
  9   2  88   0   0   0|   0   104k|5175M  389M 57.0G  542M|1233k 4924k|   0  21.0 |444 240  20   0   0| 20 195   3   2 277
 11   3  86   0   0   1|   0     0 |5176M  389M 57.0G  542M|1479k 5042k|   0     0 |444 240  20   0   0| 20 195   3   2 275
 18   4  77   0   0   1|   0   228k|5176M  389M 57.0G  542M|1386k 6412k|   0  19.0 |452 249  20   0   0| 20 204   8   2 280
 16   3  81   0   0   0|   0    76k|5176M  389M 57.0G  542M|1544k 6207k|   0  3.00 |454 250  20   0   0| 20 208   3   2 279
 12   2  85   0   0   1|   0     0 |5176M  389M 57.0G  542M|1325k 4892k|2.00     0 |446 242  20   0   0| 20 210   3   2 273
 13   2  85   0   0   0|8192B    0 |5176M  389M 57.0G  541M|1519k 5324k|   0     0 |445 241  20   0   0| 20 210   3   2 273
 11   2  86   0   0   1|   0     0 |5176M  389M 57.0G  542M|1640k 5689k|   0     0 |435 232  20   0   0| 20 203   3   2 280
 14   3  82   0   0   1|   0  1684k|5177M  389M 57.0G  541M|1677k 5561k|   0   205 |434 230  20   0   0| 20 199   3   1 264
 25   3  71   0   0   1|   0    92k|5179M  389M 57.0G  538M|1810k 7847k|   0  2.00 |440 235  20   0   0| 20 203   4   1 263
 23   5  72   0   0   1| 460k   16k|5179M  389M 57.0G  538M|1606k 7670k|1.00  3.00 |431 228  20   0   0| 20 195   3   1 274
 25   3  71   0   0   1|   0     0 |5177M  389M 57.0G  540M|1710k 9947k|   0     0 |457 249  20   0   0| 20 219   6   1 271
 16   3  80   0   0   1|   0     0 |5177M  389M 57.0G  540M|1477k 9537k|   0     0 |445 241  20   0   0| 20 209   4   1 275
 11   2  87   0   0   1|   0   764k|5176M  389M 57.0G  541M|1146k 6925k|   0   128 |444 241  20   0   0| 20 209   3   1 277
 19   2  78   0   0   1|   0    96k|5177M  389M 57.0G  540M|1507k 7651k|   0  5.00 |442 237  20   0   0| 20 209   3   1 228
  9   2  88   0   0   0|   0     0 |5177M  389M 57.0G  540M|1607k 7557k|   0     0 |441 236  20   0   0| 20 210   3   1 218
  8   2  90   0   0   1|   0     0 |5177M  389M 57.0G  540M|1228k 6159k|   0     0 |441 236  20   0   0| 20 208   3   1 217
 10   2  88   0   0   1|   0     0 |5179M  389M 57.0G  539M|1168k 6321k|   0     0 |438 233  20   0   0| 20 205   4   1 217
 11   3  86   0   0   0|   0    96k|5179M  389M 57.0G  538M|1262k 6239k|   0  3.00 |440 235  20   0   0| 20 208   3   1 219
 16   4  79   0   0   1|   0     0 |5179M  389M 57.0G  538M|1696k 7371k|   0     0 |447 242  20   0   0| 20 215   3   1 209
 11   2  87   0   0   1|   0   516k|5179M  389M 57.0G  538M|1336k 5485k|   0  2.00 |445 240  20   0   0| 20 213   3   2 210
 12   2  86   0   0   1|   0    68k|5179M  389M 57.0G  539M|1263k 5558k|   0  4.00 |447 241  20   0   0| 20 213   3   2 211
  9   2  88   0   0   1|   0     0 |5179M  389M 57.0G  538M|1215k 5166k|   0     0 |438 233  20   0   0| 20 207   2   2 214
 12   2  86   0   0   0|   0   104k|5176M  389M 57.0G  541M|1457k 6227k|   0  2.00 |417 213  20   0   0| 20 180   2   1 222
 11   2  86   0   0   1|   0     0 |5176M  389M 57.0G  541M|1326k 6029k|   0     0 |401 197  20   0   0| 20 162   2   1 239
 10   2  88   0   0   1|   0  4096B|5176M  389M 57.0G  541M|1452k 6408k|   0  1.00 |397 191  20   0   0| 20 153   4   1 243
 14   2  83   0   0   1|   0    64k|5176M  389M 57.0G  541M|1507k 7621k|   0  4.00 |413 207  20   0   0| 20 169   7   1 245
 16   3  79   0   0   1|   0     0 |5176M  389M 57.0G  541M|1789k   12M|   0     0 |450 244  20   0   0| 20 207   4   1 243
 20   3  75   0   0   1|   0   344k|5176M  389M 57.0G  541M|2002k   13M|   0  14.0 |468 257  20   0   0| 20 220   2   1 240
 14   3  82   0   0   1|   0     0 |5176M  389M 57.0G  541M|1808k   11M|   0     0 |466 255  20   0   0| 20 224   2   1 242
 14   2  83   0   0   1|   0     0 |5176M  389M 57.0G  541M|1773k 9259k|   0     0 |467 258  20   0   0| 20 227   3   1 241
 15   3  80   0   0   1|   0    52k|5178M  389M 57.0G  540M|1623k 9366k|   0  4.00 |485 274  20   0   0| 20 250   1   2 244
 20   3  75   0   0   1|   0     0 |5177M  389M 57.0G  540M|1732k 9459k|   0     0 |497 285  20   0   0| 20 258   1   2 246
 13   3  84   0   0   1|   0     0 |5178M  389M 57.0G  539M|1690k 8406k|   0     0 |476 269  20   0   0| 20 238   1   2 256
 14   3  82   0   0   1|   0  2096k|5175M  389M 57.0G  542M|1450k 6731k|   0   285 |498 290  20   0   0| 20 257   2   2 247
 20   4  74   0   0   1|   0   128k|5176M  389M 57.0G  540M|1716k 8853k|   0  27.0 |494 287  20   0   0| 20 249   1   2 255
 15   3  81   0   0   1|   0    48k|5177M  389M 57.0G  540M|1650k 8039k|   0  4.00 |486 280  20   0   0| 20 239   1   2 265
 16   3  81   0   0   1|   0     0 |5179M  389M 57.0G  538M|1787k 7697k|   0     0 |490 283  20   0   0| 20 244   1   2 259
  9   1  89   0   0   1|   0     0 |5179M  389M 57.0G  538M|1144k 5455k|   0     0 |491 284  20   0   0| 20 243   4   2 256
 11   2  86   0   0   1|   0   272k|5179M  389M 57.0G  538M|1149k 6548k|   0  3.00 |490 283  20   0   0| 20 237   1   2 247
 10   2  87   0   0   1|   0    72k|5179M  389M 57.0G  538M|1424k 6038k|   0  2.00 |484 277  20   0   0| 20 228   2   2 242
 10   2  87   0   0   0|   0     0 |5179M  389M 57.0G  538M|1521k 5846k|   0     0 |466 261  20   0   0| 20 214   1   2 253
 16   4  78   0   0   1|   0    28k|5180M  389M 57.0G  537M|1323k 5812k|   0  4.00 |469 262  20   0   0| 20 215   1   2 259
 11   3  86   0   0   0|   0     0 |5179M  389M 57.0G  538M|1391k 5468k|   0     0 |465 257  20   0   0| 20 209   2   2 253
 11   2  86   0   0   1|   0    48k|5179M  389M 57.0G  538M|1333k 5376k|   0  2.00 |455 248  20   0   0| 20 198   3   2 252
 10   2  88   0   0   0|   0    20k|5179M  389M 57.0G  538M|1373k 5546k|   0  2.00 |448 241  20   0   0| 20 203   1   2 238
  9   2  88   0   0   1|   0     0 |5179M  389M 57.0G  538M|1246k 5914k|   0     0 |444 237  20   0   0| 20 199   1   2 239
 16   2  81   0   0   1|   0     0 |5177M  389M 57.0G  540M|1277k 5182k|   0     0 |444 237  20   0   0| 20 198   1   2 243
 12   2  86   0   0   1|   0     0 |5177M  389M 57.0G  540M|1456k 5605k|   0     0 |439 232  20   0   0| 20 198   1   2 238
 10   2  88   0   0   0|   0  1356k|5177M  389M 57.0G  540M|1087k 4758k|   0   207 |435 228  20   0   0| 20 197   1   2 240
 13   3  84   0   0   0|   0     0 |5176M  389M 57.0G  541M|1505k 6462k|   0     0 |436 230  20   0   0| 20 194   1   2 243
 17   2  80   0   0   1|   0     0 |5178M  389M 57.0G  539M|1195k 5187k|   0     0 |435 228  20   0   0| 20 192   1   2 244
 22   5  72   0   0   1|   0     0 |5178M  389M 57.0G  539M|1474k 7098k|   0     0 |453 246  20   0   0| 20 213   3   2 243
 19   3  78   0   0   1|   0     0 |5177M  389M 57.0G  540M|1655k 6578k|   0     0 |458 250  20   0   0| 20 219   1   2 230
