[7l----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total- --io/total- ------sockets------ ----tcp-sockets----
usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send| read  writ|tot tcp udp raw frg|lis act syn tim clo
 26   6  67   0   0   1|   0     0 |5185M  391M 57.2G  337M|1574k 7356k|   0     0 |457 246  20   0   0| 20 222   2   2 231
 15   3  82   0   0   1|   0   108k|5185M  391M 57.2G  337M|1774k 7886k|   0  2.00 |455 243  20   0   0| 20 219   1   2 234
 11   3  86   0   0   1|   0  1476k|5186M  391M 57.2G  336M|1544k 6527k|   0   194 |451 240  20   0   0| 20 217   1   2 236
 17   4  78   0   0   1|   0     0 |5185M  391M 57.2G  337M|1704k 7037k|   0     0 |452 240  20   0   0| 20 216   2   2 239
 12   2  85   0   0   1|   0    16k|5185M  391M 57.2G  337M|1637k 6832k|   0  4.00 |450 238  20   0   0| 20 213   2   2 236
 13   3  83   0   0   1|   0     0 |5186M  391M 57.2G  336M|1723k 7267k|   0     0 |465 253  20   0   0| 20 229   4   2 235
 28   6  65   0   0   2|   0   108k|5186M  391M 57.2G  336M|2210k   11M|   0  2.00 |463 252  20   0   0| 20 224   2   2 252
 15   4  81   0   0   1|   0   200k|5181M  391M 57.2G  341M|1949k 7506k|   0  39.0 |454 243  20   0   0| 20 208   1   2 267
 15   3  82   0   0   1|   0     0 |5181M  391M 57.2G  341M|2036k 7316k|   0     0 |450 242  20   0   0| 20 205   2   2 268
 11   3  86   0   0   0|   0     0 |5180M  391M 57.2G  342M|1882k 6159k|   0     0 |444 233  20   0   0| 20 195   1   2 264
 11   3  86   0   0   1|   0    48k|5181M  391M 57.2G  341M|1734k 6941k|   0  4.00 |441 229  20   0   0| 20 192   1   2 267
 14   2  83   0   0   1|   0    80k|5177M  391M 57.2G  345M|1686k 7364k|   0  2.00 |428 220  20   0   0| 20 176   4   2 281
 13   3  84   0   0   0|   0  8192B|5182M  391M 57.2G  340M|1648k 6879k|   0  2.00 |417 209  20   0   0| 20 165   2   1 291
 18   5  76   0   0   1|   0     0 |5251M  391M 57.1G  394M|1274k 5161k|   0     0 |447 229  21   0   0| 20 189   1   1 288
 29   8  63   0   0   1|  44k  324k|5234M  391M 56.7G  752M|1829k 6794k|2.00  14.0 |443 222  20   0   0| 20 188   1   1 283
 31   8  60   0   0   1|   0     0 |5222M  391M 56.7G  764M|1663k 7162k|   0     0 |435 216  20   0   0| 20 187   3   1 288
 28   7  64   0   0   1|   0    56k|5223M  391M 56.7G  764M|1869k 7740k|   0  4.00 |441 220  20   0   0| 20 194   3   1 289
 23   7  69   0   0   1|   0    52k|5225M  391M 56.7G  761M|1596k 7094k|   0  12.0 |450 228  20   0   0| 20 201   3   1 290
 29   6  64   0   0   1|  12k    0 |5234M  391M 56.7G  753M|1437k 6745k|1.00     0 |449 231  20   0   0| 20 203   5   1 289
 24   6  70   0   0   1|   0   196k|5216M  391M 56.7G  771M|1579k 6228k|   0  3.00 |435 221  20   0   0| 20 195   3   1 285
 21   7  71   0   0   1|   0    56k|5216M  391M 56.7G  770M|1438k 6450k|   0  1.00 |428 214  20   0   0| 20 189   1   1 278
 26   6  67   0   0   1|   0     0 |5216M  391M 56.7G  771M|1516k 5787k|   0     0 |422 207  20   0   0| 20 179   1   2 276
 23   6  69   0   0   1|   0    36k|5206M  391M 56.7G  781M|1784k 6844k|   0  5.00 |414 201  20   0   0| 20 170   1   2 274
 22   6  71   0   0   1|4096B    0 |5206M  391M 56.7G  774M|1404k 4654k|1.00     0 |423 208  20   0   0| 20 176   2   2 274
 28   8  63   0   0   1|   0   200k|5204M  391M 56.7G  782M|1439k 5292k|   0  3.00 |414 202  20   0   0| 20 169   2   2 269
 24   5  70   0   0   2|   0   592k|5180M  391M 56.7G  808M|1696k 5834k|   0  11.0 |416 203  20   0   0| 20 171   2   2 263
 29   6  64   0   0   1|  12k    0 |5179M  391M 56.7G  808M|1743k 6378k|1.00     0 |428 214  20   0   0| 20 182   2   2 260
 23   4  72   0   0   1|   0   288k|5180M  391M 56.7G  808M|1866k 7007k|   0  40.0 |419 208  20   0   0| 20 176   2   1 254
 14   2  83   0   0   1|   0    16k|5180M  391M 56.7G  807M|1792k 6878k|   0  4.00 |418 206  20   0   0| 20 178   1   1 245
 13   2  85   0   0   0|   0     0 |5179M  391M 56.7G  808M|1591k 5663k|   0     0 |413 202  20   0   0| 20 175   1   1 238
 17   3  80   0   0   1|   0   316k|5179M  391M 56.7G  808M|1484k 5351k|   0  4.00 |411 200  20   0   0| 20 173   2   1 229
 14   3  83   0   0   1|   0     0 |5180M  391M 56.7G  807M|1592k 5466k|   0     0 |414 203  20   0   0| 20 170   1   1 234
 14   3  82   1   0   1|   0    12M|5180M  391M 56.7G  807M|1575k 5982k|   0   195 |440 227  20   0   0| 20 192   5   1 234
 25   4  67   2   0   2|   0    83M|5181M  391M 56.7G  806M|1958k   15M|   0   614 |435 224  20   0   0| 20 194   1   1 234
 24   4  71   0   0   1|  16k    0 |5179M  391M 56.7G  808M|1940k   11M|1.00     0 |452 242  20   0   0| 20 211   3   1 234
 21   3  76   0   0   1|   0   128k|5178M  391M 56.7G  809M|1833k 9098k|   0  2.00 |453 245  20   0   0| 20 206   1   1 244
 25   4  69   0   0   1|  24k    0 |5179M  391M 56.7G  808M|1626k 8038k|3.00     0 |446 236  20   0   0| 20 200   2   1 250
 18   5  76   0   0   1|8192B    0 |5178M  391M 56.7G  809M|1546k 8676k|1.00     0 |444 233  20   0   0| 20 206   5   1 243
 15   4  81   0   0   1|   0    64k|5178M  391M 56.7G  809M|1406k 7078k|   0  14.0 |445 234  20   0   0| 20 206   6   1 252
 24   4  70   0   0   2|   0    60k|5177M  391M 56.7G  810M|1876k 8704k|   0  4.00 |487 275  20   0   0| 20 242  17   2 241
 27   4  68   0   0   1|   0    96k|5178M  391M 56.7G  809M|1870k   13M|   0  2.00 |501 290  20   0   0| 20 253   2   2 240
 15   2  82   0   0   1|   0     0 |5177M  391M 56.7G  810M|1612k 6535k|   0     0 |504 293  20   0   0| 20 259   2   2 223
 18   4  76   0   0   1|   0     0 |5178M  391M 56.7G  809M|1751k 6305k|   0     0 |506 296  20   0   0| 20 249   3   2 200
 13   3  83   0   0   1|   0   316k|5178M  391M 56.7G  809M|1458k 6020k|   0  63.0 |505 295  20   0   0| 20 248   2   2 201
 15   3  81   0   0   1|   0   112k|5178M  391M 56.7G  809M|2005k 9196k|   0  7.00 |501 291  20   0   0| 20 248   2   2 201
 10   3  87   0   0   1|   0     0 |5178M  391M 56.7G  809M|1708k 6703k|   0     0 |491 281  20   0   0| 20 240   1   2 208
 10   2  87   0   0   1|   0     0 |5178M  391M 56.7G  809M|1395k 5175k|   0     0 |481 271  20   0   0| 20 221   1   2 224
 17   4  79   0   0   1|   0     0 |5177M  391M 56.7G  810M|1220k 5935k|   0     0 |475 265  20   0   0| 20 213   6   2 231
 11   2  85   0   0   1|   0    52k|5178M  391M 56.7G  809M|1560k 6102k|   0  11.0 |471 261  20   0   0| 20 218   2   2 233
 11   2  86   0   0   1|   0    96k|5177M  391M 56.7G  810M|1587k 5564k|   0  2.00 |466 256  20   0   0| 20 215   2   2 235
 13   2  85   0   0   0|   0    16k|5177M  391M 56.7G  810M|1718k 5218k|   0  4.00 |462 251  20   0   0| 20 211   1   2 239
 15   3  82   0   0   1|   0     0 |5180M  391M 56.7G  807M|1475k 6536k|   0     0 |458 247  20   0   0| 20 213   2   2 239
 21   3  75   0   0   1|   0     0 |5180M  391M 56.7G  807M|1522k 6476k|   0     0 |461 251  20   0   0| 20 222   5   2 238
 11   3  86   0   0   1|   0   160k|5179M  391M 56.7G  808M|1466k 5851k|   0  37.0 |451 244  20   0   0| 20 219   3   2 238
 17   4  78   0   0   1|   0   204k|5179M  391M 56.7G  808M|1579k 5912k|   0  9.00 |462 254  20   0   0| 20 232   2   2 234
 19   3  77   0   0   1|   0    56k|5179M  391M 56.7G  808M|1949k 9172k|   0  4.00 |463 255  20   0   0| 20 233   3   2 236
 10   2  87   0   0   1|   0     0 |5179M  391M 56.7G  808M|1482k 5764k|   0     0 |463 255  20   0   0| 20 233   1   2 237
 15   3  82   0   0   1|   0     0 |5179M  391M 56.7G  808M|1905k 6734k|   0     0 |462 256  20   0   0| 20 232   1   2 210
  9   2  88   0   0   1|   0   256k|5179M  391M 56.7G  808M|1363k 4908k|   0  22.0 |459 252  20   0   0| 20 227   8   2 211
 16   2  82   0   0   1|   0   116k|5175M  391M 56.7G  812M|1528k 6236k|   0  2.00 |466 259  20   0   0| 20 236   2   2 207
 16   3  80   0   0   1|   0     0 |5175M  391M 56.7G  812M|1881k 7521k|   0     0 |467 261  20   0   0| 20 233   2   2 214
 18   3  78   0   0   1|   0    28k|5174M  391M 56.7G  813M|1548k 5616k|   0  4.00 |478 270  20   0   0| 20 244   5   2 207
 27   4  67   0   0   2|   0     0 |5175M  391M 56.7G  812M|1893k 8664k|   0     0 |489 282  20   0   0| 20 256   4   2 200
 24   5  69   0   0   1|   0    44k|5177M  391M 56.7G  810M|2002k 8219k|   0  10.0 |486 279  20   0   0| 20 253   2   2 211
 14   3  83   0   0   1|   0    84k|5177M  391M 56.7G  810M|1646k 7699k|   0  2.00 |473 267  20   0   0| 20 238   2   2 226
 19   4  75   0   0   1|   0     0 |5175M  391M 56.7G  812M|1944k 7314k|   0     0 |467 262  20   0   0| 20 232   1   2 223
 24   6  69   0   0   1|   0    44k|5175M  391M 56.7G  812M|1639k 5871k|   0  4.00 |464 257  20   0   0| 20 232   2   2 215
 25   4  69   0   0   2|   0     0 |5182M  391M 56.7G  805M|1685k 7511k|   0     0 |487 279  20   0   0| 20 250   5   2 217
 18   4  77   0   0   1|   0  2820k|5175M  391M 56.7G  812M|1534k 7320k|   0   333 |489 282  20   0   0| 20 246   6   2 227
 19   4  76   0   0   1|4096B  140k|5176M  391M 56.7G  811M|1717k 6477k|1.00  2.00 |489 283  20   0   0| 20 241   2   2 237
 10   2  87   0   0   1|   0   112k|5174M  391M 56.7G  813M|1671k 5982k|   0  16.0 |462 257  20   0   0| 20 214   3   2 255
 20   5  74   0   0   1|   0     0 |5174M  391M 56.7G  812M|1660k 6254k|   0     0 |459 253  20   0   0| 20 215   1   2 260
 19   3  77   0   0   1|   0     0 |5176M  391M 56.7G  810M|1984k 7596k|   0     0 |455 249  20   0   0| 20 208   1   1 256
 16   3  81   0   0   1|   0   176k|5171M  391M 56.7G  816M|1686k 5893k|   0  13.0 |445 240  20   0   0| 20 200   1   1 259
 17   4  79   0   0   1|   0     0 |5181M  391M 56.7G  806M|1469k 4748k|   0     0 |448 239  20   0   0| 20 202   1   1 258
 17   2  80   0   0   1|   0   344k|5172M  391M 56.7G  815M|1646k 5577k|   0  18.0 |435 226  20   0   0| 20 188   2   1 269
 23   4  73   0   0   1|   0    44k|5181M  391M 56.7G  806M|1667k 6670k|   0  4.00 |445 229  23   0   0| 20 192   2   1 264
 13   3  83   0   0   1|   0     0 |5176M  391M 56.7G  811M|1483k 6733k|   0     0 |439 229  20   0   0| 20 190   1   1 260
 16   4  80   0   0   1|   0   188k|5175M  391M 56.7G  812M|1469k 5536k|   0  44.0 |425 219  20   0   0| 20 178   1   1 268
 10   2  87   0   0   1|   0     0 |5175M  391M 56.7G  812M|1597k 6763k|   0     0 |423 213  20   0   0| 20 173   1   1 272
 10   3  86   0   0   1|   0   240k|5176M  391M 56.7G  811M|1565k 5549k|   0  4.00 |415 208  20   0   0| 20 175   2   2 267
 14   2  83   0   0   1|   0    16k|5176M  391M 56.7G  811M|1392k 5327k|   0  4.00 |431 221  20   0   0| 20 191   7   2 267
 32   6  60   0   0   2|   0     0 |5181M  391M 56.7G  806M|1591k 8318k|   0     0 |441 225  20   0   0| 20 196   3   2 259
 17   4  78   0   0   1|   0  4096B|5175M  391M 56.7G  812M|1886k 7799k|   0  1.00 |443 228  20   0   0| 20 198   3   2 263
 16   2  81   0   0   1|   0     0 |5175M  391M 56.7G  812M|1798k 6924k|   0     0 |448 233  20   0   0| 20 203   3   2 264
 11   2  86   0   0   1|   0   260k|5175M  391M 56.7G  812M|1549k 4883k|   0  6.00 |437 222  20   0   0| 20 193   3   2 266
 13   3  84   0   0   0|   0    44k|5175M  391M 56.7G  811M|1784k 5526k|   0  4.00 |431 216  20   0   0| 20 190   3   2 260
 13   2  84   0   0   1|   0   128k|5175M  391M 56.7G  812M|1547k 5212k|   0  10.0 |427 214  20   0   0| 20 183   3   1 258
 14   3  83   0   0   1|   0    64k|5175M  391M 56.7G  812M|1639k 5567k|   0  14.0 |425 211  20   0   0| 20 178   3   1 251
 11   2  85   0   0   1|4096B    0 |5175M  391M 56.7G  812M|1634k 5277k|1.00     0 |420 207  20   0   0| 20 171   3   1 258
 13   3  83   0   0   1|   0     0 |5175M  391M 56.7G  812M|1639k 4976k|   0     0 |413 200  20   0   0| 20 165   4   1 258
 11   2  86   0   0   1|   0     0 |5175M  391M 56.7G  812M|1442k 6681k|   0     0 |408 196  20   0   0| 20 159   3   1 264
 20   4  76   0   0   1|   0   136k|5176M  391M 56.7G  811M|1815k 7475k|   0  7.00 |450 232  20   0   0| 20 195  11   1 270
 22   4  72   0   0   2|   0   232k|5176M  391M 56.7G  811M|1846k   12M|   0  23.0 |442 229  20   0   0| 20 198   2   1 266
 14   2  82   0   0   1|   0     0 |5176M  391M 56.7G  811M|1686k 6965k|   0     0 |443 230  20   0   0| 20 199   2   1 258
 12   2  85   0   0   1|   0     0 |5177M  391M 56.7G  810M|1782k 7350k|   0     0 |440 226  20   0   0| 20 203   2   2 255
 12   2  85   0   0   1|   0     0 |5177M  391M 56.7G  810M|1963k 7113k|   0     0 |439 225  20   0   0| 20 202   2   2 251
  9   2  88   0   0   1|8192B  132k|5177M  391M 56.7G  810M|1560k 4950k|2.00  2.00 |433 219  20   0   0| 20 195   2   2 258
 10   2  88   0   0   1|   0   104k|5177M  391M 56.7G  810M|1457k 4703k|   0  13.0 |426 212  20   0   0| 20 180   2   2 272
 10   2  87   0   0   1|   0   128k|5177M  391M 56.7G  810M|1419k 5512k|   0  10.0 |419 206  20   0   0| 20 170   2   2 277
 10   2  88   0   0   0|   0     0 |5176M  391M 56.7G  810M|1496k 5216k|   0     0 |418 204  20   0   0| 20 168   3   2 252
 12   3  84   0   0   1|   0     0 |5176M  391M 56.7G  810M|1728k 6726k|   0     0 |417 202  20   0   0| 20 167   5   2 239
 13   3  84   0   0   1|   0     0 |5177M  391M 56.7G  810M|1424k 5234k|   0     0 |423 207  20   0   0| 20 168   2   1 209
 15   3  80   0   0   1|   0  2172k|5179M  391M 56.7G  808M|1703k 6201k|   0   258 |421 206  20   0   0| 20 170   2   1 202
 13   3  84   0   0   1|   0   128k|5178M  391M 56.7G  809M|1862k 6177k|   0  3.00 |415 200  20   0   0| 20 171   3   2 193
 13   3  83   0   0   1|  20k    0 |5178M  391M 56.7G  809M|1848k 6245k|2.00     0 |412 197  20   0   0| 20 172   2   2 190
 15   3  81   0   0   1|  84k    0 |5175M  391M 56.7G  812M|1679k 5320k|6.00     0 |416 201  20   0   0| 20 174   2   2 192
 11   2  86   0   0   0|   0    72k|5176M  391M 56.7G  811M|1518k 5638k|   0  16.0 |411 196  20   0   0| 20 171   2   2 193
 11   2  86   0   0   0|   0  1456k|5176M  391M 56.7G  811M|1364k 5123k|   0   224 |415 200  20   0   0| 20 175   2   2 196
 11   3  86   0   0   1|   0   192k|5176M  391M 56.7G  810M|1665k 5529k|   0  20.0 |416 201  20   0   0| 20 177   2   2 195
 18   4  77   0   0   1|   0     0 |5176M  391M 56.7G  811M|1590k 5903k|   0     0 |414 198  20   0   0| 20 172   2   2 201
 26   4  69   0   0   2|  12k    0 |5182M  391M 56.7G  804M|1829k 8302k|1.00     0 |586 369  20   0   0| 20 350  52   2 154
 14   4  80   0   0   1|   0   128k|5176M  391M 56.7G  810M|1714k 6639k|   0  3.00 |624 410  20   0   0| 20 385   3   2 166
  9   2  87   0   0   1|   0   376k|5177M  391M 56.7G  810M|1346k 4716k|   0  74.0 |629 414  20   0   0| 20 391   2   2 162
 14   2  83   0   0   1|   0     0 |5178M  391M 56.7G  809M|1880k 6611k|   0     0 |623 410  20   0   0| 20 383   2   2 163
 14   4  82   0   0   0|   0    64k|5177M  391M 56.7G  809M|1455k 5158k|   0  5.00 |623 410  20   0   0| 20 383   1   2 160
 18   3  77   0   0   1|  36k    0 |5177M  391M 56.7G  809M|2027k 8186k|3.00     0 |648 434  20   0   0| 20 409   1   2 160
 20   4  75   0   0   1|   0   136k|5177M  391M 56.7G  809M|1742k 7655k|   0  2.00 |653 439  20   0   0| 20 411   1   2 144
 12   2  85   0   0   1|   0     0 |5176M  391M 56.7G  810M|1588k 5417k|   0     0 |653 439  20   0   0| 20 414   1   2 140
 15   3  82   0   0   1|   0     0 |5178M  391M 56.7G  808M|1929k 6003k|   0     0 |657 443  20   0   0| 20 414   1   2 142
 13   3  84   0   0   1|   0     0 |5178M  391M 56.7G  808M|1523k 4899k|   0     0 |657 442  20   0   0| 20 413   1   2 143
 16   3  81   0   0   1|   0    52k|5177M  391M 56.7G  809M|1960k 6458k|   0  4.00 |660 446  20   0   0| 20 406   1   2 153
 14   3  82   0   0   1|   0    72k|5179M  391M 56.7G  807M|1764k 5304k|   0  2.00 |658 443  20   0   0| 20 395   1   2 170
 16   3  80   0   0   1|   0   180k|5178M  391M 56.7G  808M|1732k 7410k|   0  16.0 |636 422  20   0   0| 20 374   1   2 177
 11   2  86   0   0   1|   0     0 |5178M  391M 56.7G  809M|1734k 5286k|   0     0 |632 419  20   0   0| 20 371   1   2 181
 11   2  86   0   0   1|   0     0 |5178M  391M 56.7G  809M|1485k 5226k|   0     0 |627 412  20   0   0| 20 369   1   2 181
 14   3  82   0   0   1|   0    44k|5176M  391M 56.7G  811M|1866k 5521k|   0  4.00 |624 410  20   0   0| 20 369   1   2 179
 15   2  82   0   0   1|   0   144k|5176M  391M 56.7G  810M|1778k 5857k|   0  2.00 |622 408  20   0   0| 20 367   1   2 178
 12   2  84   0   0   1|   0   228k|5176M  391M 56.7G  810M|1569k 5321k|   0  44.0 |610 396  20   0   0| 20 365   1   2 177
 10   3  87   0   0   0|   0     0 |5177M  391M 56.7G  810M|1470k 5185k|   0     0 |605 391  20   0   0| 20 361   1   2 182
 13   2  84   0   0   1|   0     0 |5177M  391M 56.7G  810M|1726k 5549k|   0     0 |603 389  20   0   0| 20 360   1   2 180
 11   3  86   0   0   1|   0     0 |5177M  391M 56.7G  810M|1742k 5636k|   0     0 |602 388  20   0   0| 20 359   1   2 180
 11   2  87   0   0   0|   0   124k|5177M  391M 56.7G  810M|1535k 5390k|   0  6.00 |602 388  20   0   0| 20 359   1   2 174
 16   3  81   0   0   1|   0    24k|5177M  391M 56.7G  809M|1830k 5468k|   0  6.00 |606 392  20   0   0| 20 362   1   2 173
 13   3  83   0   0   1|   0   328k|5178M  391M 56.7G  808M|1462k 4314k|   0  12.0 |605 388  20   0   0| 20 354   1   2 173
  9   2  88   0   0   0|   0     0 |5178M  391M 56.7G  808M|1366k 4896k|   0     0 |602 384  20   0   0| 20 357   1   2 172
 10   2  87   0   0   0|   0     0 |5178M  391M 56.7G  808M|1393k 4613k|   0     0 |601 383  20   0   0| 20 358   1   2 170
 11   3  85   0   0   1|   0     0 |5178M  391M 56.7G  808M|1768k 5428k|   0     0 |607 389  20   0   0| 20 364   3   2 170
 19   2  77   0   0   1|   0  1684k|5181M  391M 56.7G  805M|1916k 7820k|   0   217 |613 394  20   0   0| 20 371   3   2 169
 15   3  82   0   0   1|   0   204k|5177M  391M 56.7G  810M|1832k 6385k|   0  7.00 |608 394  20   0   0| 20 372   1   2 167
 12   3  85   0   0   0|   0    56k|5177M  391M 56.7G  810M|1726k 6346k|   0  1.00 |605 391  20   0   0| 20 371   2   2 164
 10   3  87   0   0   1|   0     0 |5177M  391M 56.7G  809M|1688k 4955k|   0     0 |443 247  20   0   0| 20 210   1   2 321
 14   3  83   0   0   1|   0   336k|5177M  391M 56.7G  809M|1773k 4995k|   0  12.0 |395 180  20   0   0| 20 160   2   2 359
 18   3  79   0   0   1|   0    12k|5178M  391M 56.7G  808M|1601k 6120k|   0  3.00 |389 173  20   0   0| 20 155   0   2 368
 12   3  85   0   0   1|   0    16k|5181M  391M 56.7G  806M|1393k 4862k|   0  4.00 |390 174  20   0   0| 20 153   0   2 366
 19   4  77   0   0   1|   0  4096B|5180M  391M 56.7G  806M|1619k 5354k|   0  1.00 |394 179  20   0   0| 20 156   6   2 364
 19   3  77   0   0   1|   0     0 |5180M  391M 56.7G  806M|1830k 6359k|   0     0 |384 168  20   0   0| 20 142   1   2 383
 17   3  80   0   0   1|   0   180k|5180M  391M 56.7G  806M|1491k 6250k|   0  4.00 |376 164  20   0   0| 20 138   0   1 370
 11   3  86   0   0   1|   0   356k|5180M  391M 56.7G  806M|1611k 5153k|   0  75.0 |376 164  20   0   0| 20 135   0   1 374
 12   2  85   0   0   1|   0    16k|5180M  391M 56.7G  806M|1520k 4949k|   0  4.00 |376 163  20   0   0| 20 136   0   1 375
 13   2  84   0   0   1|   0     0 |5181M  391M 56.7G  806M|1574k 5148k|   0     0 |372 160  20   0   0| 20 134   1   1 376
 12   2  86   0   0   0|   0     0 |5181M  391M 56.7G  805M|1667k 5855k|   0     0 |364 158  20   0   0| 20 128   0   1 385
 13   3  83   0   0   1|1808k   92k|5180M  391M 56.7G  805M|1203k 4337k|14.0  2.00 |363 159  20   0   0| 20 126   1   1 384
 10   2  88   0   0   0|   0    72k|5180M  391M 56.7G  805M|1384k 4408k|   0  5.00 |363 152  20   0   0| 20 125   0   1 381
 22   2  75   0   0   1|   0     0 |5178M  391M 56.7G  807M|1753k 4760k|   0     0 |363 152  20   0   0| 20 126   1   1 379
 10   2  87   0   0   1|   0    16k|5178M  391M 56.7G  807M|1809k 5677k|   0  4.00 |362 152  20   0   0| 20 126   0   1 375
 12   2  86   0   0   1|   0     0 |5179M  391M 56.7G  805M|1437k 5386k|   0     0 |364 154  20   0   0| 20 127   0   1 375
 14   3  82   0   0   1|   0   160k|5181M  391M 56.7G  803M|1549k 5247k|   0  2.00 |369 159  20   0   0| 20 136   8   1 369
 17   3  78   0   0   2|   0   228k|5180M  391M 56.7G  804M|1814k 8511k|   0  44.0 |428 218  20   0   0| 20 193   2   2 354
 20   3  76   0   0   1|   0     0 |5180M  391M 56.7G  804M|1740k 8545k|   0     0 |427 217  20   0   0| 20 199   4   2 353
 22   4  73   0   0   1|   0    64k|5179M  391M 56.7G  805M|1813k 8967k|   0  4.00 |442 231  20   0   0| 20 211   3   2 350
 27   4  68   0   0   2|   0     0 |5179M  391M 56.7G  805M|1967k   11M|   0     0 |486 274  20   0   0| 20 254   3   2 344
 26   3  70   0   0   1|   0   136k|5181M  391M 56.7G  803M|1650k 9605k|   0  2.00 |487 276  20   0   0| 20 255   0   2 333
 17   3  79   0   0   1|   0  3768k|5177M  391M 56.7G  806M|1651k 6674k|   0   354 |487 276  20   0   0| 20 243   0   2 346
 27   5  67   0   0   1|  64k    0 |5177M  391M 56.7G  806M|1435k 6297k|3.00     0 |489 278  20   0   0| 20 246   0   2 342
 25   4  69   0   0   1|   0    60k|5177M  391M 56.7G  806M|1557k 7319k|   0  4.00 |489 279  20   0   0| 20 238   0   2 351
 19   2  78   0   0   1|   0     0 |5178M  391M 56.7G  805M|1765k 7371k|   0     0 |497 286  20   0   0| 20 243   0   2 352
 14   2  84   0   0   0|   0   188k|5177M  391M 56.7G  806M|1309k 5837k|   0  2.00 |487 277  20   0   0| 20 226   0   2 368
 11   2  86   0   0   1|   0     0 |5180M  391M 56.7G  804M|1021k 4569k|   0     0 |482 271  20   0   0| 20 218   1   2 376
 25   5  68   0   0   1|   0     0 |5177M  391M 56.7G  807M|1978k   10M|   0     0 |526 318  20   0   0| 20 271   1   2 361
 24   4  71   0   0   1|   0    56k|5177M  391M 56.7G  807M|1994k   11M|   0  4.00 |526 317  20   0   0| 20 273   2   2 363
 13   3  83   0   0   1|   0     0 |5177M  391M 56.7G  807M|1513k 6381k|   0     0 |518 312  20   0   0| 20 271   2   2 292
 12   3  84   0   0   1|   0  1384k|5177M  391M 56.7G  807M|1685k 5746k|   0  3.00 |518 308  20   0   0| 20 272   5   2 262
 17   5  77   0   0   0|  12k    0 |5177M  391M 56.7G  807M|1524k 6213k|1.00     0 |508 298  20   0   0| 20 272   0   2 261
 10   2  87   0   0   1|   0     0 |5178M  391M 56.7G  807M|1560k 5546k|   0     0 |510 300  20   0   0| 20 263   3   2 270
 16   3  79   0   0   1|   0     0 |5177M  391M 56.7G  808M|1779k 7460k|   0     0 |511 302  20   0   0| 20 263   3   2 266
 10   2  87   0   0   0|   0    16k|5177M  391M 56.7G  808M|1407k 5383k|   0  4.00 |503 294  20   0   0| 20 254   0   2 246
 14   3  83   0   0   0|   0    68k|5177M  391M 56.7G  807M|1729k 6661k|   0  2.00 |500 289  20   0   0| 20 249   0   2 222
 11   3  86   0   0   1|   0     0 |5177M  391M 56.7G  807M|1618k 5966k|   0     0 |502 291  20   0   0| 20 250   0   2 219
 12   3  85   0   0   0|   0     0 |5177M  391M 56.7G  808M|1562k 5832k|   0     0 |502 291  20   0   0| 20 250   0   2 219
 17   2  81   0   0   1|   0     0 |5178M  391M 56.7G  807M|1333k 5588k|   0     0 |497 286  20   0   0| 20 254   0   2 221
 17   3  79   0   0   1|   0     0 |5178M  391M 56.7G  807M|1615k 7427k|   0     0 |525 315  20   0   0| 20 281   2   2 217
 22   3  74   0   0   1|   0     0 |5179M  391M 56.7G  806M|1939k 9392k|   0     0 |526 313  20   0   0| 20 285   0   2 221
 25   5  68   0   0   1|   0    80k|5176M  391M 56.7G  808M|2077k 9778k|   0  2.00 |529 317  20   0   0| 20 290   2   2 214
 13   3  83   0   0   1|   0    48k|5179M  391M 56.7G  805M|1419k 6222k|   0  4.00 |529 318  20   0   0| 20 289   1   2 214
 12   3  85   0   0   1|   0     0 |5179M  391M 56.7G  805M|1353k 6417k|   0     0 |525 316  20   0   0| 20 284   0   2 218
 12   2  85   0   0   1|   0     0 |5176M  391M 56.7G  808M|1507k 6012k|   0     0 |523 313  20   0   0| 20 281   0   2 221
 13   3  83   0   0   1|  16k    0 |5177M  391M 56.7G  808M|1744k 6783k|1.00     0 |515 305  20   0   0| 20 278   1   2 221
 14   3  82   0   0   1|   0   116k|5177M  391M 56.7G  807M|1891k 6944k|   0  2.00 |482 276  20   0   0| 20 245   0   2 255
 15   2  82   0   0   1|   0    16k|5177M  391M 56.7G  807M|2086k 8462k|   0  4.00 |473 263  20   0   0| 20 235   0   2 267
 16   2  80   0   0   1| 152k    0 |5176M  391M 56.7G  808M|2096k 7283k|10.0     0 |470 258  20   0   0| 20 233   0   2 271
 14   3  82   0   0   1|   0    64k|5176M  391M 56.7G  808M|1850k 7116k|   0  17.0 |440 235  20   0   0| 20 202   0   2 298
 14   3  83   0   0   1|   0     0 |5177M  391M 56.7G  807M|1810k 7176k|   0     0 |428 218  20   0   0| 20 194   0   2 305
 16   3  80   0   0   1|   0   192k|5182M  391M 56.7G  802M|1934k 7606k|   0  18.0 |431 216  24   0   0| 20 192   0   2 294
 19   3  77   0   0   1|   0   288k|5174M  391M 56.7G  810M|1646k 6704k|   0  12.0 |431 217  20   0   0| 20 193   1   2 300
 15   4  80   0   0   1|   0     0 |5174M  391M 56.7G  810M|1697k 6877k|   0     0 |428 214  20   0   0| 20 191   0   2 303
 16   3  81   0   0   1|   0    44k|5175M  391M 56.7G  809M|1715k 6634k|   0  4.00 |422 211  20   0   0| 20 185   2   2 309
